release_id,name,release_date,stream,parent_id,status,defects,changes,tests,integration_status,component_version
R001,Main Release 1.0,2025-01-10,Main,,Released,4,3,42,Not Applicable,Core 1.0.0
R002,Main Release 1.1,2025-02-14,Main,R001,Released,3,2,48,Not Applicable,Core 1.0.1
R003,Main Release 1.2,2025-03-21,Main,R002,Released,2,3,51,Not Applicable,Core 1.1.0
R004,Development Release 1.0,2025-02-05,Development,R001,Released,6,4,31,In Development,Core 1.0.1-dev
R005,Development Release 1.1,2025-04-11,Development,R004,Released,5,3,36,In Development,Core 1.1.0-dev
R006,Integration Release 1.0,2025-05-02,Integration,R003,Released,7,5,58,Ready,Core 1.1.0
R007,Main Release 1.3,2025-05-16,Main,R003,Released,2,1,54,Not Applicable,Core 1.1.1
R008,Development Release 1.2,2025-05-30,Development,R005,Released,4,3,39,In Development,Core 1.1.1-dev
R009,Integration Release 1.1,2025-06-20,Integration,R006,Released,6,4,62,Ready,Core 1.2.0
R010,Main Release 2.0,2025-07-04,Main,R007,Released,3,2,57,Not Applicable,Core 2.0.0
R011,Development Release 2.0,2025-07-18,Development,R008,Released,5,4,43,In Development,Core 2.0.1-dev
R012,Integration Release 2.0,2025-08-08,Integration,R009,Testing,8,5,66,Testing,Core 2.0.1
R013,Main Release 2.1,2025-08-22,Main,R010,Released,1,2,61,Not Applicable,Core 2.1.0
R014,Development Release 2.1,2025-09-12,Development,R011,Testing,6,4,46,In Development,Core 2.1.1-dev
R015,Integration Release 2.1,2025-09-26,Integration,R012,Testing,9,6,71,Testing,Core 2.1.1
R016,Main Release 2.2,2025-10-17,Main,R013,Testing,4,3,55,Not Applicable,Core 2.2.0
R017,Development Release 2.2,2025-10-31,Development,R014,Testing,7,5,49,In Development,Core 2.2.1-dev
R018,Integration Release 2.2,2025-11-14,Integration,R015,Planned,8,5,38,Planned,Core 2.2.1
R019,Main Release 3.0,2025-12-05,Main,R016,Planned,3,2,29,Not Applicable,Core 3.0.0
R020,Development Release 3.0,2025-12-19,Development,R017,Planned,6,4,27,In Development,Core 3.0.1-dev
R021,Integration Release 3.0,2026-01-16,Integration,R018,Planned,7,5,22,Planned,Core 3.0.1
R022,Main Release 3.1,2026-02-06,Main,R019,Planned,2,2,18,Not Applicable,Core 3.1.0
R023,Development Release 3.1,2026-02-20,Development,R020,Planned,5,3,16,In Development,Core 3.1.1-dev
R024,Integration Release 3.1,2026-03-13,Integration,R021,Planned,6,4,12,Planned,Core 3.1.1
